Employment in agriculture (% of employed),Employment in services (% employed),Economy: Agriculture (% of Gross Value Added),"Fertility rate, total (live births per woman)",Education: Upper Sec. gross enrol. ratio - Male (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Female (per 100 pop.),Under five mortality rate (per 1000 live births),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Employment in industry (% of employed),gdp_class
44.6,34.7,22.0,5.7,54.3,27.9,76.5,68.3,2.3,20.7,0.0
46.0,35.5,31.4,5.1,54.1,29.3,62.9,55.0,3.3,18.5,0.0
41.3,40.0,22.5,1.6,105.3,91.5,10.1,52.7,0.2,18.7,1.0
36.2,43.2,21.9,1.4,97.2,89.4,9.4,55.1,0.4,20.6,1.0
34.9,43.7,21.3,1.3,101.9,91.4,8.3,54.2,0.7,21.4,2.0
8.8,59.9,12.1,3.1,54.3,76.8,25.3,50.6,2.0,31.2,1.0
56.8,35.4,9.1,5.8,25.7,14.5,88.6,48.8,3.6,7.8,1.0
55.2,38.6,9.9,5.4,31.5,25.7,71.6,44.4,3.2,6.3,0.0
7.8,69.8,6.1,2.3,78.6,91.5,12.9,66.3,1.0,22.3,2.0
7.3,72.2,7.6,1.6,90.5,101.2,11.2,65.6,0.3,20.5,2.0
7.2,72.8,7.9,1.5,101.3,110.5,10.2,63.3,0.3,20.0,2.0
52.2,32.4,18.9,1.6,85.9,89.3,14.6,52.9,0.1,15.4,1.0
52.4,34.6,12.4,1.6,84.2,86.8,11.4,58.2,0.7,13.0,1.0
52.4,33.5,11.4,1.7,86.9,89.1,10.4,60.9,0.7,14.0,2.0
0.6,85.1,0.0,1.9,109.2,109.8,16.5,86.4,0.8,14.0,3.0
2.6,77.3,2.6,1.8,243.9,207.0,3.8,73.4,1.5,20.1,3.0
2.8,78.0,2.5,1.6,197.2,192.8,3.6,70.3,0.7,19.2,3.0
2.2,79.2,2.5,1.6,190.0,180.0,3.2,68.3,1.0,18.6,3.0
4.5,69.7,1.3,1.5,105.1,98.8,3.7,70.5,1.3,25.8,3.0
3.9,71.3,1.2,1.4,104.1,99.5,3.7,70.4,0.4,24.9,3.0
3.5,70.1,1.5,1.3,103.6,100.3,3.4,69.3,0.1,26.4,3.0
36.3,49.3,7.4,1.8,73.7,70.6,20.0,46.2,0.6,14.4,1.0
35.6,49.5,5.1,1.7,66.1,57.5,16.9,34.4,0.6,14.9,2.0
3.5,84.7,0.9,1.6,75.1,78.0,15.1,85.7,0.7,11.8,3.0
3.0,85.2,0.6,1.4,60.3,62.3,12.5,90.0,0.5,11.8,3.0
1.1,63.8,0.3,2.1,96.5,103.5,7.6,59.0,4.0,35.2,3.0
0.9,64.2,0.3,1.9,101.3,102.3,9.1,58.6,0.7,34.9,3.0
0.9,64.3,0.3,1.8,113.4,104.7,6.2,56.2,2.4,34.8,3.0
43.5,36.0,14.7,2.2,48.4,47.0,38.7,54.3,0.9,20.5,0.0
38.1,40.5,12.4,2.2,55.5,61.1,31.3,53.4,0.8,21.4,1.0
36.9,41.3,11.7,2.1,59.9,64.6,21.0,53.0,1.2,21.9,1.0
2.9,77.7,1.7,1.7,106.3,111.9,13.3,82.9,0.2,19.4,2.0
2.8,80.7,2.2,1.7,110.7,118.2,11.6,83.1,0.2,16.6,2.0
2.7,80.8,1.7,1.7,112.9,120.1,12.3,84.0,0.1,16.5,2.0
10.2,58.1,7.2,1.7,108.9,103.0,4.1,55.1,0.2,31.6,1.0
10.9,58.5,8.1,1.4,103.4,96.6,2.9,56.1,1.1,30.6,1.0
10.6,59.0,8.6,1.2,101.1,95.3,3.1,54.1,0.6,30.4,2.0
1.2,77.4,0.8,1.7,142.4,168.4,3.9,77.3,0.7,21.4,3.0
0.9,78.7,0.8,1.6,133.2,156.7,3.6,77.7,0.3,20.4,3.0
0.9,80.0,0.7,1.4,128.9,148.4,3.4,76.9,0.2,19.1,3.0
18.1,66.5,11.1,2.4,55.7,63.6,15.6,71.7,2.1,15.4,1.0
17.3,63.5,9.7,2.0,58.5,69.0,12.9,71.0,1.3,19.2,1.0
16.8,63.6,9.2,2.0,58.7,70.6,10.5,72.5,1.4,19.6,2.0
36.0,43.9,28.7,5.3,49.9,25.2,97.1,53.5,2.9,20.1,0.0
29.4,48.5,29.7,4.8,37.3,24.2,85.6,52.5,2.6,22.1,0.0
28.4,49.3,29.6,4.5,34.7,25.3,77.5,51.6,2.4,22.3,0.0
1.6,87.6,0.2,1.4,79.8,90.1,3.7,94.4,0.1,10.3,3.0
58.0,32.4,14.4,1.8,66.9,72.4,30.6,42.2,1.0,9.7,1.0
49.9,35.2,16.1,1.5,70.7,75.2,25.1,51.3,0.7,14.9,1.0
44.0,40.8,15.0,1.4,79.3,90.2,21.5,52.4,0.6,15.2,1.0
29.7,49.4,12.6,2.9,87.8,88.2,51.4,56.5,1.5,20.9,1.0
30.0,51.9,15.5,2.7,84.4,85.6,45.7,58.5,1.1,18.1,1.0
27.0,52.4,14.1,2.5,88.1,89.0,40.4,56.2,1.4,20.6,1.0
17.9,52.6,7.3,1.3,76.7,79.3,6.4,66.4,1.3,29.5,1.0
12.2,53.3,7.0,1.5,80.1,82.8,6.4,64.8,1.5,34.4,1.0
16.9,49.6,5.8,1.5,80.5,82.6,5.4,64.8,0.7,33.5,2.0
17.6,66.7,1.9,2.7,49.8,64.6,36.8,58.8,1.6,15.7,2.0
9.3,67.8,5.0,1.8,85.5,99.8,16.0,72.5,0.8,22.8,2.0
9.3,70.4,6.6,1.7,91.5,101.9,14.5,70.9,0.5,20.3,2.0
8.7,70.8,7.9,1.6,93.0,109.9,13.7,68.2,0.4,20.5,2.0
0.5,87.4,0.1,1.2,72.7,85.2,15.1,93.7,6.0,11.1,3.0
1.4,82.0,1.1,1.9,110.5,108.7,9.9,38.7,1.3,16.7,3.0
1.3,74.9,1.2,1.8,81.9,86.0,9.8,40.7,1.0,23.7,3.0
6.9,63.2,4.7,1.5,89.2,87.3,7.7,67.5,0.7,29.9,2.0
6.6,63.1,4.0,1.6,89.0,85.9,6.0,70.8,0.5,30.3,2.0
6.4,63.5,4.3,1.7,88.8,84.9,5.9,67.0,0.6,30.0,2.0
76.9,16.8,24.9,5.5,15.9,10.3,100.9,48.3,2.9,6.3,0.0
74.8,18.4,20.6,4.4,25.1,20.6,84.8,43.0,2.4,6.8,0.0
74.2,18.8,22.9,4.1,21.1,20.0,81.5,43.4,2.2,7.0,0.0
86.3,10.2,37.5,5.7,31.1,23.3,68.7,46.2,1.2,3.5,0.0
85.3,11.6,37.3,5.2,44.8,52.0,54.7,44.2,2.8,3.1,0.0
85.1,11.8,36.5,4.8,27.4,34.0,47.9,44.7,2.5,3.1,0.0
15.8,65.4,7.3,2.0,60.2,77.7,18.6,76.2,0.0,18.8,1.0
10.7,67.5,5.4,1.6,65.7,80.7,13.6,75.6,0.1,21.7,1.0
10.1,67.9,4.3,1.5,60.9,78.0,11.6,76.3,0.5,22.0,1.0
36.9,38.0,24.2,2.7,38.0,38.3,25.6,39.0,1.6,25.1,0.0
36.6,36.8,23.7,2.5,40.2,48.3,22.2,36.0,1.2,26.6,0.0
46.5,39.1,18.7,4.8,49.6,39.9,89.8,54.0,3.0,14.3,0.0
43.1,41.7,19.0,4.6,45.3,39.2,74.8,56.1,2.7,15.1,0.0
42.2,42.4,18.3,4.3,41.4,36.3,65.8,54.3,2.6,15.4,0.0
1.6,78.4,2.0,1.6,121.4,123.5,5.3,72.1,0.9,19.9,3.0
1.6,79.2,2.0,1.4,114.6,115.3,5.1,72.6,0.8,19.3,3.0
1.3,79.6,2.0,1.3,114.7,115.1,4.7,72.7,1.0,19.2,3.0
0.8,83.6,0.4,1.3,91.5,96.2,2.9,92.2,2.4,15.5,3.0
72.9,21.0,32.5,6.1,10.3,6.2,123.5,44.6,1.7,6.1,0.0
71.3,22.5,33.4,6.1,10.6,6.4,122.1,44.9,2.6,6.2,0.0
71.3,20.8,29.8,6.7,25.6,9.2,128.6,27.0,2.9,7.9,0.0
69.8,20.9,34.4,6.3,24.1,10.7,110.0,34.3,3.4,9.4,0.0
69.2,21.2,29.7,6.0,27.5,14.9,98.3,21.3,4.2,9.6,0.0
9.2,67.1,4.0,1.7,98.4,100.3,8.2,63.4,1.0,23.7,2.0
7.2,70.9,4.5,1.3,103.0,103.5,5.9,62.4,0.4,21.9,2.0
6.3,70.9,3.9,1.1,106.7,105.9,6.4,60.4,0.5,22.8,2.0
28.3,42.4,8.7,1.7,83.1,89.0,10.8,50.3,0.5,29.3,2.0
23.6,44.8,8.0,1.2,82.9,86.5,7.6,54.0,0.1,31.6,2.0
22.6,45.3,7.7,1.0,88.1,91.1,8.0,52.3,0.2,32.2,2.0
0.2,86.1,0.1,1.2,107.0,102.7,2.5,92.7,0.6,13.7,3.0
0.2,86.3,0.1,0.9,104.4,96.9,2.0,93.4,0.0,13.5,3.0
0.2,85.8,0.1,0.7,100.1,97.0,1.9,93.3,0.5,14.0,3.0
16.3,64.2,6.6,1.8,73.5,86.9,15.6,61.9,0.9,19.5,1.0
16.7,63.4,8.2,1.7,81.1,90.7,13.2,65.8,1.2,19.9,1.0
14.6,65.0,9.2,1.6,84.7,95.8,11.7,61.0,1.0,20.3,1.0
37.9,43.9,31.7,4.4,50.2,54.5,61.2,57.5,2.1,18.2,0.0
35.8,49.0,37.0,4.1,44.0,49.4,51.5,54.6,2.0,15.2,0.0
32.1,43.5,6.1,4.6,46.1,35.6,51.8,42.7,2.4,24.4,1.0
33.0,45.0,10.9,4.3,59.3,50.7,43.4,54.4,2.4,22.0,0.0
4.3,84.0,3.2,2.2,73.2,74.3,8.8,85.4,0.6,11.7,2.0
14.4,67.2,5.2,1.8,95.2,113.6,9.1,73.1,1.1,18.4,2.0
16.5,65.4,4.7,1.4,131.4,154.7,8.1,73.4,0.6,18.1,2.0
13.4,67.6,4.4,1.3,134.7,163.5,7.5,72.9,0.5,19.0,2.0
9.2,64.1,3.6,1.4,91.7,96.5,5.1,71.6,1.1,26.7,2.0
6.5,65.3,3.7,1.5,92.5,97.8,4.7,71.5,0.8,28.2,2.0
5.9,65.7,3.7,1.5,93.1,98.5,4.0,72.6,0.7,28.4,2.0
18.7,64.5,3.9,1.7,90.8,101.4,6.3,73.5,0.0,16.8,2.0
17.8,65.8,2.8,1.5,102.6,109.9,6.0,74.0,0.2,16.5,2.0
17.1,66.3,1.8,1.4,106.9,114.9,5.6,79.7,0.4,16.6,2.0
4.0,79.8,2.1,1.3,100.3,99.6,3.1,86.2,1.4,16.2,3.0
2.7,77.8,2.1,1.4,100.0,96.4,3.3,83.3,1.2,19.5,3.0
2.4,80.5,1.8,1.4,102.3,99.5,2.9,84.4,0.9,17.2,3.0
2.9,59.0,2.5,1.6,108.9,110.7,3.0,60.0,0.0,38.0,2.0
2.6,60.1,2.2,1.8,101.9,103.8,2.8,64.1,0.1,37.2,3.0
2.5,61.0,2.1,1.5,103.6,105.8,2.6,65.3,1.0,36.4,3.0
43.5,44.5,19.8,5.0,31.9,21.8,86.7,58.4,2.9,12.1,0.0
46.2,43.3,20.3,4.5,39.2,30.4,73.8,56.7,2.5,10.5,1.0
45.6,44.0,17.8,4.2,40.3,33.5,66.3,58.0,2.4,10.5,1.0
46.4,40.4,21.6,1.9,94.9,96.9,21.4,32.2,0.5,13.2,0.0
45.5,41.7,22.4,1.8,98.8,101.4,17.5,33.8,0.4,12.8,0.0
59.2,31.5,19.7,6.4,45.0,27.7,95.7,35.5,3.3,9.3,0.0
56.1,33.7,17.9,6.0,59.2,36.4,72.4,32.3,3.2,10.2,0.0
2.5,78.1,1.1,1.7,143.7,153.2,4.1,75.9,0.8,19.4,3.0
2.1,79.0,1.6,1.7,140.4,141.1,3.5,75.7,0.3,18.9,3.0
2.1,78.8,1.3,1.5,143.4,140.6,3.4,76.4,0.5,19.1,3.0
1.4,93.2,1.3,3.0,39.8,30.1,65.2,86.6,1.7,5.4,1.0
1.2,93.0,1.4,2.7,36.3,30.7,55.6,86.6,1.5,5.8,1.0
1.2,92.9,1.4,2.6,37.4,31.9,49.1,86.6,1.3,6.0,1.0
9.7,71.9,5.9,2.4,70.0,80.5,34.9,63.5,1.1,18.4,2.0
9.0,71.6,6.5,2.3,62.1,73.6,33.5,61.2,1.1,19.5,2.0
7.7,72.0,6.2,2.2,56.5,68.9,31.5,58.4,0.8,20.3,2.0
26.2,54.1,10.2,2.2,94.1,99.2,15.4,55.4,1.4,19.7,1.0
31.8,52.3,10.5,2.0,93.4,97.2,13.0,56.8,0.8,15.9,1.0
31.5,51.1,9.4,1.8,94.7,98.2,12.1,57.1,0.9,17.3,1.0
25.8,49.1,11.3,3.5,64.3,63.2,23.4,52.5,2.0,25.1,1.0
20.4,51.1,12.1,2.8,74.4,71.4,19.4,54.3,1.6,28.5,1.0
18.7,53.0,11.5,2.7,72.6,69.1,16.2,54.1,1.6,28.4,1.0
18.1,59.7,6.1,2.1,51.9,56.7,15.4,66.1,0.3,22.2,1.0
15.8,60.9,5.9,1.8,50.1,54.0,12.8,67.9,0.4,23.4,1.0
15.0,61.6,5.3,1.8,49.2,55.9,11.3,66.6,0.4,23.4,1.0
66.5,24.8,17.2,4.2,34.2,28.8,46.5,51.6,0.7,8.7,0.0
64.7,26.5,17.3,3.9,27.0,25.5,39.2,51.4,1.8,8.8,0.0
3.9,65.4,3.3,1.6,112.6,116.3,3.4,69.2,0.2,30.7,2.0
3.0,67.9,2.3,1.6,118.1,129.1,2.0,71.9,0.1,29.1,3.0
2.6,68.8,2.8,1.4,117.9,128.7,2.3,70.0,1.0,28.6,3.0
13.4,61.8,9.8,3.1,66.7,64.8,64.0,52.6,0.6,24.7,1.0
13.6,62.5,8.7,2.9,77.4,74.1,54.7,57.8,1.2,23.9,1.0
69.0,23.1,38.8,4.5,17.6,17.4,63.3,43.7,2.7,7.8,0.0
30.4,55.1,10.0,2.6,70.9,81.9,21.9,70.6,0.1,14.5,1.0
29.7,56.3,16.9,2.4,70.9,86.4,26.3,62.8,0.3,14.0,1.0
28.8,57.0,15.3,2.3,71.4,84.8,20.4,66.3,0.5,14.2,1.0
4.2,74.1,2.6,1.6,184.9,212.6,2.1,70.4,0.3,21.7,3.0
3.7,74.4,2.8,1.4,171.7,199.8,2.3,69.4,0.2,21.9,3.0
3.8,74.8,2.6,1.3,172.1,205.9,2.3,68.0,0.2,21.4,3.0
2.7,76.9,1.8,1.9,105.4,108.6,4.3,78.5,0.3,20.4,3.0
2.4,77.7,1.8,1.8,107.7,108.6,4.0,79.4,0.3,20.0,3.0
2.6,78.2,2.1,1.6,108.5,109.6,3.8,79.1,0.2,19.3,3.0
30.2,54.0,7.0,3.8,46.2,49.0,41.2,49.8,2.3,15.8,2.0
51.8,41.6,24.3,5.0,42.9,37.1,59.6,56.9,2.7,6.6,0.0
47.5,45.0,23.4,3.9,133.7,158.1,43.1,58.5,2.3,7.5,0.0
44.0,44.9,8.8,2.2,102.3,103.1,10.7,69.7,0.0,11.0,1.0
41.1,45.5,8.3,2.0,110.0,107.2,9.6,67.5,0.1,13.4,1.0
39.9,46.3,7.0,1.8,118.0,112.7,7.7,68.4,0.0,13.8,1.0
1.4,70.9,0.8,1.5,109.8,98.4,3.9,69.1,1.2,27.7,3.0
1.2,71.4,0.8,1.5,110.4,95.1,3.6,69.7,0.0,27.4,3.0
1.2,71.9,1.0,1.4,110.8,96.0,3.4,69.3,0.3,26.9,3.0
35.2,46.1,21.8,4.0,52.4,46.1,55.5,44.2,2.3,18.7,0.0
40.5,40.9,20.1,3.5,65.6,62.1,45.5,48.1,2.0,18.6,0.0
39.7,41.4,20.9,3.3,72.5,72.2,40.1,44.9,1.9,18.9,0.0
12.5,72.4,4.4,1.3,109.1,102.4,4.2,79.2,0.7,15.0,2.0
10.3,74.7,4.7,1.4,106.7,104.8,3.8,78.6,0.3,15.0,2.0
11.2,73.3,4.3,1.3,108.6,106.6,3.4,76.6,1.8,15.6,3.0
31.9,49.2,10.6,3.0,36.5,37.2,28.6,65.3,1.8,18.9,1.0
30.5,49.2,10.5,2.5,35.4,37.5,23.7,65.8,1.5,20.3,1.0
27.1,50.8,9.9,2.3,29.0,33.8,21.2,66.0,1.5,22.0,1.0
63.5,30.4,20.1,5.0,34.9,21.9,112.3,51.3,2.6,6.1,0.0
61.2,31.8,28.2,4.5,35.2,26.1,100.3,41.3,2.5,7.0,0.0
60.3,32.4,29.4,4.1,32.7,25.8,92.0,39.6,2.3,7.2,0.0
18.8,58.5,27.0,2.7,89.6,96.4,33.0,46.8,0.6,22.7,1.0
12.1,64.4,17.8,2.5,64.9,75.6,28.3,41.2,1.1,23.6,2.0
11.9,62.7,10.3,2.4,66.4,74.8,22.2,19.8,0.6,25.4,2.0
28.7,49.5,12.6,2.7,53.6,73.7,20.5,60.8,1.9,21.8,1.0
4.9,64.8,4.5,1.4,107.7,110.3,5.1,64.2,0.3,30.3,2.0
4.8,63.3,4.0,1.6,105.9,105.1,4.0,67.1,0.4,31.9,2.0
4.4,64.3,3.8,1.5,101.2,101.6,3.6,67.3,0.3,31.4,2.0
4.2,77.9,5.9,1.8,133.6,136.4,3.3,71.7,1.0,17.8,3.0
4.0,78.0,5.2,1.7,122.2,116.7,3.4,72.5,1.3,17.9,3.0
4.1,77.9,4.5,1.5,131.6,124.1,1.6,71.7,1.4,18.0,3.0
44.3,30.7,17.7,2.3,66.2,62.9,43.5,52.3,1.2,25.0,0.0
44.7,31.6,20.3,2.0,71.8,66.5,32.6,52.5,0.9,23.7,0.0
42.9,31.0,18.4,2.0,73.0,71.4,28.2,53.3,0.9,26.1,1.0
33.0,44.9,13.9,2.3,79.3,76.2,27.5,44.7,1.1,22.0,1.0
29.6,48.9,14.2,2.2,92.7,96.2,22.8,46.1,0.8,21.5,1.0
29.3,48.8,13.0,2.1,95.2,99.1,19.9,43.7,0.8,21.9,1.0
17.1,50.0,10.4,2.0,90.1,84.6,15.5,56.6,1.4,32.8,1.0
16.7,49.7,13.9,1.7,80.1,79.4,13.1,55.8,0.6,33.6,1.0
5.3,76.6,1.0,1.9,133.7,141.5,4.0,57.8,1.0,18.1,3.0
4.5,76.7,1.0,1.7,161.1,187.8,3.2,59.4,0.8,18.8,3.0
4.0,76.8,1.2,1.6,164.1,192.5,3.2,55.3,1.0,19.2,3.0
1.0,81.4,1.6,3.1,95.1,96.0,3.8,76.3,2.0,17.6,3.0
0.9,83.3,1.4,2.9,95.4,96.7,2.8,78.7,1.6,15.8,3.0
0.8,83.5,1.3,2.8,96.8,98.2,3.7,79.0,1.4,15.7,3.0
3.8,69.6,2.3,1.3,99.5,99.0,3.4,74.5,0.2,26.6,3.0
4.0,69.6,2.2,1.2,100.9,99.9,2.9,73.9,0.4,26.4,3.0
3.8,69.3,2.2,1.2,102.5,101.4,2.6,72.2,0.3,26.9,3.0
17.7,67.3,7.2,1.5,77.6,81.5,18.7,70.7,0.3,14.9,1.0
15.9,68.3,9.8,1.4,77.1,79.0,19.2,67.3,0.4,15.8,1.0
15.3,67.5,9.4,1.4,80.7,81.4,18.9,67.5,0.0,17.2,1.0
3.5,71.4,1.0,1.4,102.5,103.0,2.7,70.2,0.1,25.1,3.0
3.1,72.8,1.0,1.3,103.4,103.5,2.3,69.8,0.4,24.0,3.0
3.1,73.3,1.0,1.2,103.0,103.7,2.3,70.0,0.5,23.6,3.0
3.4,75.4,4.9,3.1,57.0,66.8,17.5,67.0,7.2,21.1,1.0
3.3,79.1,5.1,2.8,53.8,60.5,15.1,68.7,1.9,17.6,1.0
3.2,78.6,5.2,2.6,62.0,65.0,13.3,67.7,0.4,18.2,1.0
18.0,61.4,5.0,2.8,97.9,105.5,12.4,62.5,1.5,20.6,2.0
13.5,65.4,5.7,3.1,97.6,97.2,10.1,59.3,1.4,21.2,2.0
2.2,72.9,0.5,2.0,82.5,98.6,9.4,50.9,4.7,24.9,3.0
