"Fertility rate, total (live births per woman)",Under five mortality rate (per 1000 live births),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Economy: Agriculture (% of Gross Value Added),gdp_class
2.8,53.3,49.4,1.6,19.7,0.0
2.5,43.5,44.4,1.5,18.4,1.0
2.4,37.2,46.4,1.3,22.3,0.0
1.7,4.9,74.3,0.9,4.0,2.0
1.5,4.3,72.9,0.7,4.6,2.0
1.3,3.4,69.9,0.8,5.7,3.0
2.4,13.1,79.5,2.2,3.5,2.0
2.3,20.3,75.4,0.2,8.3,2.0
2.2,18.1,81.9,0.7,4.5,2.0
3.2,81.2,57.9,1.2,4.2,0.0
2.8,76.3,58.8,1.2,6.0,0.0
2.7,69.2,58.2,1.1,7.1,0.0
4.5,92.3,20.0,2.2,69.5,0.0
4.2,77.2,16.4,2.1,75.6,0.0
3.9,70.1,17.5,2.1,74.0,0.0
2.7,14.6,64.9,1.5,3.9,2.0
2.5,11.9,54.0,1.3,3.6,2.0
2.3,14.8,52.5,1.0,3.7,1.0
1.4,7.2,56.8,0.7,0.1,3.0
1.5,6.7,58.1,0.8,0.2,3.0
1.5,6.4,56.6,0.7,0.2,3.0
1.7,5.3,66.5,1.1,3.8,2.0
1.5,3.2,68.3,0.1,3.9,2.0
1.2,3.8,67.3,0.5,4.4,3.0
1.5,5.1,87.1,2.3,0.2,3.0
1.4,6.5,87.4,1.4,0.2,3.0
1.4,3.7,88.3,1.1,0.3,3.0
4.3,66.4,53.2,2.6,27.0,0.0
4.2,66.0,52.7,2.5,26.7,0.0
3.9,64.4,50.4,2.4,23.5,0.0
4.4,57.0,55.1,2.7,26.5,0.0
3.9,43.7,53.3,2.6,26.5,0.0
3.6,38.2,52.5,2.6,29.4,0.0
2.0,8.1,52.7,1.7,8.4,2.0
1.7,8.0,55.4,1.1,8.3,2.0
1.5,6.2,51.4,1.2,9.0,2.0
2.0,9.7,81.7,3.6,6.2,2.0
1.6,6.8,77.9,2.8,8.3,2.0
1.6,5.4,82.8,0.4,5.6,2.0
6.4,115.8,40.9,3.1,39.8,0.0
5.8,100.1,38.2,3.1,38.4,0.0
5.5,92.2,39.4,2.9,38.6,0.0
1.4,6.8,79.7,2.4,1.0,3.0
1.1,4.6,84.3,1.4,0.8,3.0
1.1,5.5,85.4,1.2,1.0,3.0
3.1,35.3,76.0,2.1,12.6,1.0
3.0,30.6,67.0,3.1,19.8,1.0
2.9,27.2,68.5,3.4,19.0,2.0
5.2,48.8,51.7,3.0,23.0,0.0
4.9,41.8,43.9,2.9,21.2,0.0
4.6,36.6,46.1,2.8,20.3,1.0
1.3,14.2,74.6,0.0,3.5,2.0
1.4,15.8,77.5,0.2,3.6,2.0
1.2,13.4,75.1,0.2,3.9,2.0
2.1,16.2,64.0,1.0,3.3,2.0
2.0,13.8,63.0,0.7,4.0,2.0
1.9,12.5,60.8,0.8,4.1,2.0
3.0,30.0,65.7,0.3,27.8,1.0
2.9,25.2,71.3,0.9,23.5,1.0
2.7,22.3,71.0,0.5,23.9,1.0
3.0,19.4,50.3,2.2,15.3,1.0
2.9,15.0,44.7,1.6,14.3,1.0
2.6,11.3,45.9,1.2,14.6,1.0
1.8,3.9,72.9,0.6,9.7,1.0
1.8,4.2,70.0,0.6,9.1,2.0
1.8,3.4,76.4,0.3,7.5,2.0
1.5,8.4,86.3,0.7,1.4,2.0
2.0,7.1,84.6,0.8,0.9,2.0
1.4,6.2,84.2,0.7,0.7,2.0
2.4,23.3,58.2,1.1,13.2,1.0
2.3,18.6,59.2,1.0,11.9,1.0
2.2,16.3,60.3,0.9,11.4,1.0
5.2,83.9,52.5,2.9,26.5,0.0
5.0,70.5,45.4,3.0,30.2,0.0
4.7,63.0,45.0,2.9,29.7,0.0
2.3,51.6,38.8,0.8,26.8,0.0
2.2,43.0,40.4,0.7,21.8,0.0
2.1,41.4,39.2,0.7,22.4,0.0
3.6,45.3,62.9,2.7,7.2,1.0
3.3,40.5,62.7,3.0,9.8,1.0
3.2,36.3,60.3,2.1,9.3,1.0
4.1,33.0,56.9,1.9,2.4,2.0
3.5,28.3,61.2,0.3,2.4,2.0
3.3,25.3,61.1,0.7,2.4,2.0
2.3,40.3,56.0,0.7,29.4,0.0
2.1,30.3,61.2,1.8,25.2,0.0
2.0,24.8,61.2,0.2,24.7,0.0
1.7,3.8,77.9,0.5,1.9,3.0
1.5,4.3,78.2,0.4,1.8,3.0
1.4,3.6,76.6,0.7,1.7,3.0
2.1,14.2,73.9,0.1,2.1,3.0
2.0,12.6,74.9,0.3,2.2,3.0
2.0,10.6,75.0,0.9,2.1,3.0
2.0,5.1,72.0,2.1,4.9,3.0
1.6,4.4,72.3,1.3,6.2,3.0
1.7,4.7,72.3,0.8,6.2,3.0
2.4,19.4,53.7,1.4,17.8,0.0
2.3,16.2,54.4,1.2,17.4,0.0
2.2,13.2,52.0,1.3,18.8,1.0
7.2,127.4,41.2,3.7,34.7,0.0
6.4,120.7,38.1,3.3,40.5,0.0
5.9,113.7,38.8,3.3,39.5,0.0
5.5,126.2,58.8,2.5,20.9,1.0
4.7,113.7,47.0,2.1,24.4,0.0
4.4,102.8,44.7,2.1,24.1,0.0
1.8,9.6,61.5,0.9,11.1,1.0
1.6,6.4,64.4,1.5,9.8,1.0
1.5,6.9,65.7,0.5,8.6,1.0
1.7,2.9,62.9,0.9,1.7,3.0
1.5,2.1,67.5,0.4,2.1,3.0
1.4,2.1,45.6,1.0,1.7,3.0
3.0,11.2,47.8,5.1,1.6,2.0
2.6,10.7,52.6,2.2,2.4,2.0
2.5,10.1,50.1,4.4,2.1,3.0
4.0,76.2,55.5,1.4,24.5,0.0
3.8,65.2,57.0,1.9,23.2,0.0
3.5,58.1,55.1,1.5,23.8,0.0
2.0,21.3,87.3,0.2,3.5,2.0
2.0,22.7,82.0,0.0,3.8,2.0
1.9,21.4,84.3,0.1,3.7,2.0
2.5,17.1,69.2,1.7,3.0,2.0
2.2,12.8,73.1,1.2,3.0,2.0
2.1,13.2,70.3,1.2,2.7,2.0
3.6,51.5,45.3,2.5,18.3,1.0
3.3,44.2,45.9,2.0,19.6,1.0
3.1,39.2,40.5,1.8,17.6,1.0
2.6,22.1,52.5,1.5,10.2,1.0
2.5,18.7,51.7,1.4,11.5,1.0
2.4,19.3,52.0,1.2,11.8,1.0
2.2,17.3,59.1,1.2,7.7,1.0
2.1,15.7,58.9,1.1,8.3,1.0
2.0,12.8,54.2,1.1,8.6,2.0
2.8,28.4,58.5,1.4,11.0,1.0
2.1,28.1,61.4,1.1,10.2,1.0
1.9,26.5,61.2,0.8,9.5,1.0
1.3,4.8,62.1,0.0,2.8,2.0
1.4,4.1,64.9,0.3,2.9,2.0
1.3,3.8,65.3,0.9,3.2,2.0
1.3,3.6,75.2,0.2,2.4,2.0
1.4,3.0,75.3,0.2,2.5,3.0
1.5,3.0,76.4,0.1,2.1,3.0
1.4,7.4,48.0,1.3,0.8,3.0
0.9,6.2,49.3,0.7,0.7,3.0
0.9,6.5,52.8,0.1,0.7,3.0
2.0,7.6,44.4,8.3,0.2,3.0
1.7,5.9,50.0,0.9,0.3,3.0
1.7,6.8,36.8,2.4,0.2,3.0
1.2,3.5,60.6,0.8,2.2,3.0
0.8,3.0,62.4,0.1,1.9,3.0
0.7,2.6,63.5,0.1,1.8,3.0
1.9,15.7,61.1,1.6,14.7,1.0
1.8,14.5,62.5,1.4,10.8,1.0
1.7,11.8,67.5,1.2,9.2,1.0
1.6,9.2,59.9,0.5,5.0,2.0
1.7,6.7,66.1,0.6,4.6,2.0
1.7,6.3,63.3,0.6,4.9,2.0
1.8,8.1,62.5,0.3,4.3,2.0
1.5,5.7,62.6,0.2,4.4,2.0
1.5,5.3,59.5,0.5,4.3,2.0
4.1,47.5,54.5,2.4,26.3,0.0
3.9,40.7,50.7,2.2,29.0,0.0
3.6,35.4,50.2,2.1,26.9,0.0
1.6,18.0,73.0,0.0,1.0,2.0
1.5,16.2,72.5,0.2,1.3,2.0
1.5,14.5,75.4,0.2,1.5,2.0
1.5,17.8,85.0,0.4,2.5,2.0
1.4,17.5,82.8,0.3,2.5,2.0
1.4,16.6,86.6,0.2,1.8,2.0
2.1,18.1,75.3,0.5,7.3,2.0
1.8,17.7,74.9,0.5,10.2,2.0
1.8,14.2,76.8,0.7,5.6,2.0
4.3,18.5,74.6,0.9,9.2,1.0
4.0,17.5,76.6,1.0,11.0,1.0
3.8,15.2,76.2,0.6,11.9,1.0
1.2,2.0,64.9,0.8,0.0,3.0
1.1,1.6,61.9,0.3,0.0,3.0
1.2,1.4,60.5,0.2,0.0,3.0
4.4,23.3,72.1,1.7,12.2,0.0
3.8,16.2,72.2,2.2,14.3,0.0
3.6,13.2,73.2,2.0,13.2,1.0
2.6,9.1,52.1,3.3,2.8,2.0
2.3,7.0,55.7,1.2,3.1,2.0
2.3,7.4,41.3,1.8,2.5,3.0
4.8,51.0,57.6,3.0,16.0,0.0
4.0,40.2,56.2,2.6,18.0,0.0
3.8,34.2,56.5,2.3,18.2,0.0
1.5,6.3,61.0,0.7,8.1,1.0
1.5,5.6,62.4,0.9,7.6,2.0
1.5,4.7,61.9,0.7,7.7,2.0
2.2,14.5,80.5,2.4,2.5,2.0
2.2,14.7,81.0,2.2,2.3,2.0
2.1,12.4,83.4,1.9,2.6,2.0
4.5,132.9,34.9,2.3,60.5,0.0
4.1,108.4,32.4,2.3,62.2,0.0
3.7,95.7,33.1,2.1,60.0,0.0
1.0,2.7,74.2,1.2,0.0,3.0
0.9,2.7,75.5,2.2,0.0,3.0
1.0,2.2,74.6,0.7,0.0,3.0
1.4,6.4,63.6,0.1,2.4,2.0
1.6,6.0,66.7,0.0,1.9,2.0
1.6,4.8,65.6,0.5,2.5,2.0
1.6,2.3,65.2,0.1,2.4,3.0
1.6,2.4,64.6,1.1,2.4,3.0
1.6,1.8,65.9,0.0,2.1,3.0
4.3,23.0,51.2,3.6,33.3,0.0
3.7,20.3,48.6,2.4,34.1,0.0
3.5,17.1,48.8,2.4,33.5,0.0
7.0,133.3,32.5,3.4,60.2,0.0
6.5,113.5,32.5,3.8,60.2,0.0
6.0,102.1,32.5,3.4,60.2,0.0
2.4,39.1,71.2,2.3,2.5,1.0
2.3,29.3,71.4,1.6,2.9,1.0
2.2,31.2,69.4,1.2,3.2,2.0
4.7,244.7,50.9,0.1,4.2,0.0
4.2,99.1,54.4,2.6,6.0,0.0
3.8,98.2,34.7,2.1,2.8,0.0
1.3,3.1,74.9,0.0,3.0,3.0
1.2,3.0,74.9,0.2,3.1,3.0
1.2,2.9,74.6,0.0,2.6,3.0
2.1,8.8,58.9,0.8,8.9,1.0
2.0,7.0,61.3,0.7,8.7,1.0
2.0,6.2,59.0,0.6,9.2,1.0
4.0,18.6,72.1,2.4,8.7,1.0
3.5,15.2,71.5,2.3,8.4,1.0
3.2,27.5,71.2,1.6,8.0,1.0
4.9,64.8,51.8,3.0,32.0,0.0
4.5,55.3,58.4,2.6,20.4,0.0
4.3,53.0,58.1,1.6,20.1,0.0
2.6,20.4,59.1,1.1,11.3,2.0
2.3,17.7,53.7,1.0,8.4,2.0
2.2,12.4,45.8,0.8,8.3,1.0
1.8,2.9,73.4,1.1,1.6,3.0
1.7,2.8,74.2,0.5,1.5,3.0
1.4,2.4,71.5,0.5,1.6,3.0
1.5,4.6,74.4,1.1,0.6,3.0
1.5,4.2,73.8,0.7,0.7,3.0
1.4,3.6,73.8,0.5,0.6,3.0
3.1,38.2,51.4,3.0,33.1,0.0
2.8,22.3,41.1,2.8,36.6,0.0
2.7,21.4,42.6,4.0,35.1,0.0
3.5,37.8,45.3,2.6,23.9,0.0
3.2,32.7,38.4,2.2,24.7,0.0
3.0,25.9,45.6,1.9,27.1,0.0
1.5,10.4,54.9,0.4,8.9,1.0
1.3,8.7,58.0,0.2,8.7,2.0
1.2,10.0,56.2,0.1,8.8,2.0
3.8,60.9,63.8,1.9,17.8,0.0
3.0,51.8,49.2,1.9,13.4,0.0
2.6,45.1,36.8,1.3,10.1,1.0
4.7,75.9,54.1,2.5,20.8,0.0
4.4,64.4,56.8,2.4,21.3,0.0
4.1,57.3,56.7,2.2,20.6,0.0
3.5,12.4,62.3,0.5,19.7,1.0
3.2,11.4,61.0,0.0,21.3,1.0
3.1,10.3,60.1,0.4,21.6,1.0
1.6,19.2,60.9,0.6,1.7,2.0
1.6,16.9,65.7,0.4,1.9,2.0
1.5,15.8,48.9,0.3,1.1,2.0
2.3,17.3,63.3,1.1,9.9,1.0
2.0,13.3,65.3,0.8,11.3,1.0
1.8,11.5,64.7,0.6,10.5,1.0
3.0,42.6,35.5,2.3,9.4,1.0
2.8,41.8,43.4,2.1,11.2,2.0
2.7,35.8,44.6,1.7,11.1,2.0
1.7,6.9,88.3,5.1,0.6,3.0
1.6,6.2,81.9,1.9,0.5,3.0
1.5,5.6,84.3,0.7,0.4,3.0
3.3,26.0,73.7,0.2,13.9,1.0
3.3,21.8,75.4,1.8,9.1,1.0
3.2,19.3,73.6,1.7,9.0,1.0
2.2,13.4,60.6,2.5,7.8,2.0
1.8,10.6,61.0,0.8,7.5,2.0
1.6,11.3,57.8,0.2,7.2,2.0
5.3,55.8,47.3,3.1,23.3,0.0
4.6,43.5,44.9,3.2,26.6,0.0
4.2,37.7,44.7,2.7,27.1,0.0
1.4,8.9,60.2,0.4,14.2,0.0
1.2,7.1,64.9,0.7,10.8,1.0
1.0,6.1,68.9,2.2,9.3,1.0
1.4,7.6,55.9,4.9,0.7,3.0
1.3,6.5,56.9,1.9,1.0,3.0
1.2,6.2,47.7,3.4,0.8,3.0
1.8,4.5,79.0,0.8,0.7,3.0
1.6,4.2,80.0,0.2,0.7,3.0
1.6,4.2,80.8,0.6,0.9,3.0
5.0,54.5,44.1,3.4,29.2,0.0
4.8,43.9,39.9,3.0,28.6,0.0
4.5,38.0,38.2,2.9,28.4,0.0
1.8,6.9,80.1,0.9,1.0,3.0
1.6,6.2,81.9,0.2,0.8,3.0
1.6,5.9,80.7,0.5,1.1,3.0
2.0,9.0,70.3,0.4,7.7,2.0
1.5,6.7,72.8,0.1,7.4,2.0
1.4,7.0,71.6,0.1,8.0,3.0
2.6,20.1,43.7,1.7,31.8,1.0
3.1,15.0,39.7,1.9,26.8,0.0
3.5,14.8,41.5,1.9,25.2,1.0
4.0,21.5,65.4,2.2,23.1,1.0
3.7,19.2,64.6,2.4,24.4,1.0
3.6,17.0,65.8,2.3,23.6,1.0
2.3,18.3,46.3,1.0,4.6,2.0
2.1,18.8,46.3,1.0,5.2,1.0
2.1,17.9,44.9,0.4,5.0,1.0
2.1,22.1,46.4,1.2,15.9,1.0
2.0,21.0,45.9,0.9,13.9,1.0
1.9,19.7,45.2,0.6,13.0,1.0
4.6,49.8,61.7,3.0,18.2,0.0
4.6,43.4,59.5,2.7,19.6,0.0
4.5,38.8,59.5,2.9,19.6,0.0
4.8,67.8,59.3,3.1,5.3,0.0
4.3,59.1,55.4,2.9,3.1,0.0
4.0,50.8,59.1,2.8,3.3,0.0
3.9,60.8,65.7,1.3,9.3,0.0
3.8,50.0,56.0,1.7,9.3,0.0
3.7,44.3,47.0,1.9,8.1,0.0
